school,division,school_division,latitude,longitude,10_or_more_absences,half_year_enrollment,rate_chronic_absence,free_reduced_lunch_eligible,eoy_avg_daily_membership,school_level_expenditures_per_pupil_federal,school_level_expenditures_per_pupil_state,division_level_expenditures_per_pupil_federal,division_level_expenditures_per_pupil_state,total_per_pupil_expenditures,total_expenditures,poverty_level,title1_code,percent_inexperienced_teachers,percent_out_of_field_teachers,percent_out_of_field_inexperienced_teachers,percent_econ_disadvantaged,teacher_BA,teacher_MA,teacher_PHD,provisional_percent,sol_pass_rate,percent_female_students,percent_male_students,percent_disabled_students,percent_not_disabled_students
A. Henderson Elementary,Prince William County Public Schools,A. Henderson Elementary Prince William County Public Schools,38.621549,-77.343909,87,805,10.81,25.8,800.97,216,7404,571,3640,11831,9476229,Low Poverty,Non-Title I,18.9,3.8,3.8,0.2741116751,35,62,2,3.8,76.5,0.4771573604,0.5228426396,0.1205583756,0.8794416244
A.G. Richardson Elementary,Culpeper County Public Schools,A.G. Richardson Elementary Culpeper County Public Schools,38.44693,-78.014278,139,508,27.36,40.5,535.93,208,9466,745,2110,12529,6714834,Medium Poverty,Non-Title I,11.5,7.7,3.8,0.3819188192,44,56,0,5.8,69.75,0.5036900369,0.4963099631,0.1697416974,0.8302583026
A.M. Davis Elementary,Chesterfield County Public Schools,A.M. Davis Elementary Chesterfield County Public Schools,37.491286,-77.546349,134,675,19.85,60.9,726.34,682,6510,543,4412,12147,8822645,Medium Poverty,Title I,7.6,0,0,0.5421348315,31,69,0,9.1,53,0.4971910112,0.5028089888,0.1418539326,0.8581460674
A.S. Rhodes Elementary,Warren County Public Schools,A.S. Rhodes Elementary Warren County Public Schools,38.948154,-78.206384,57,249,22.89,37.3,265.24,512,8287,45,2983,11827,3136939,Medium Poverty,Non-Title I,8,4,4,0.3582089552,52,44,0,4,72,0.473880597,0.526119403,0.05597014925,0.9440298507
A.W.E. Bassette Elementary,Hampton City Public Schools,A.W.E. Bassette Elementary Hampton City Public Schools,37.016542,-76.376249,106,462,22.94,91.1,467.86,1540,6746,446,2738,11470,5366257,High Poverty,Title I,6.9,3.4,3.4,0.6,58,32,3,27.6,51.75,0.5053763441,0.4946236559,0.09462365591,0.9053763441
Abb's Valley-Boissevain Elementary,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary Tazewell County Public Schools,37.268908,-81.390939,37,125,29.6,94.6,149.9,1481,7190,587,2979,12237,1834266,High Poverty,Title I,30.8,15.4,15.4,0.5897435897,60,33,0,0,67,0.4935897436,0.5064102564,0.1474358974,0.8525641026
Aberdeen Elementary,Hampton City Public Schools,Aberdeen Elementary Hampton City Public Schools,37.0335,-76.405372,105,465,22.58,91.1,507.99,1154,7056,446,2738,11395,5788445,High Poverty,Title I,6.9,3.4,3.4,0.5430861723,55,32,3,10.3,56.5,0.5150300601,0.4849699399,0.122244489,0.877755511
Abingdon Elementary,Gloucester County Public Schools,Abingdon Elementary Gloucester County Public Schools,37.291765,-76.513489,68,437,15.56,46.1,458.68,824,8609,283,4322,14038,6439097,Medium Poverty,Title I,8.9,2.2,2.2,0.443956044,40,57,0,13.3,71.75,0.5032967033,0.4967032967,0.1384615385,0.8615384615
Abingdon Elementary,Arlington County Public Schools,Abingdon Elementary Arlington County Public Schools,38.839837,-77.096092,79,677,11.67,44.5,713.01,790,13193,968,7589,22540,16071597,Medium Poverty,Title I,3.2,0,0,0.4518413598,30,65,0,9.5,56,0.4390934844,0.5609065156,0.1161473088,0.8838526912
Abingdon Elementary,Washington County Public Schools,Abingdon Elementary Washington County Public Schools,36.713377,-82.0163,56,412,13.59,42.4,438.44,514,8616,656,3308,13095,5741221,Medium Poverty,Title I,4.1,2,2,0.3287981859,55,45,0,0,85.5,0.4648526077,0.5351473923,0.156462585,0.843537415
